Bag Number,Surface,Fold,Time (Bag),Mu Value,Inconsistency,Raw If Applicable,Previously Recorded Mu,Previoulsy Recorded Time,Mu Difference,Timestamp Difference,,,,,,,,,,,,,,
"3 surface, Assam, Track 1",,,,,,,,,,,,,,,,,,,,,,,,
Bag 1,Cardboard,5,1770685229,0.8415899703,,,0.8416,1770685229,0.000,0.040,,FOLD 1 TESTING SET,,,FOLD 2 TESTING SET,,,FOLD 3 TESTING SET,,,FOLD 4 TESTING SET,,,FOLD 5 TESTING SET
,Acrylic,.,1770685233,0.9127304548,,,0.9127,1770685233,0.000,0.000,,"track 1: 9,19,20",,,"track 1: 2,7",,,"track 1: 6,11,17,18",,,"track 1: 5,8,12,13",,,"track 1: 1,3,4,10,14,15,16"
,Tile,.,1770685236,0.6960932134,,,0.6961,1770685236,0.000,0.000,,"track 2: 6,9,10",,,"track 2: 2,7,11,13,16",,,"track 2: 3,5,8,14",,,"track 2: 1,4,12",,,track 2: 15
Bag 2,Cardboard,2,1770685255,1.125711839,,,1.1257,1770685255,0.000,0.036,,"track 3: 5,7,11,16,20",,,"track 3: 6,8,13,15,18",,,"track 3: 3,10,17",,,"track 3: 1,4,12,14",,,"track 3: 2,9,19"
,Acrylic,.,1770685258,0.9801569032,,,0.9802,1770685258,0.000,0.000,,Fold 1 Best F1 Threshold: 0.5196,,,Fold 2 Best F1 Threshold: 0.5823,,,Fold 3 Best F1 Threshold: 0.3082,,,Fold 4 Best F1 Threshold: 0.5899,,,Fold 5 Best F1 Threshold: 0.5823
,Tile,.,1770685262,0.711716796,,,0.7117,1770685262,0.000,0.020,,Fold 1 Best F1 Epsilon:   3.4864,,,Fold 2 Best F1 Epsilon:   3.2845,,,Fold 3 Best F1 Epsilon:   4.3945,,,Fold 4 Best F1 Epsilon:   3.2341,,,Fold 5 Best F1 Epsilon:   3.2845
Bag 3,Cardboard,5,1770685278,1.17147256,,,1.1715,1770685278,0.000,0.020,,- TP: 90,,,- TP: 86,,,- TP: 85,,,- TP: 84,,,- TP: 84
,Acrylic,.,1770685280,0.8675244117,,,0.86752,1770685280,0.000,0.020,,- FP: 16,,,- FP: 20,,,- FP: 26,,,- FP: 17,,,- FP: 18
,Tile,.,1770685283,0.7205852602,,,0.72058,1770685283,0.000,0.040,,- FN: 27,,,- FN: 31,,,- FN: 30,,,- FN: 32,,,- FN: 31
